p1,p2,response
-72.041245,-22.860643,Oxidoreductases
-39.080658,-44.227257,Oxidoreductases
-34.223785,-10.773563,Oxidoreductases
3.218026,37.17155,Oxidoreductases
-31.920933,54.69671,Oxidoreductases
-28.76833,31.397127,Oxidoreductases
-62.136463,-11.686774,Oxidoreductases
-9.620384,-6.3183913,Oxidoreductases
-74.23314,-13.024375,Oxidoreductases
23.128483,25.669506,Oxidoreductases
-26.812235,-2.9402056,Oxidoreductases
-8.344445,62.207462,Oxidoreductases
-75.74799,28.05323,Oxidoreductases
-32.32745,14.65945,Oxidoreductases
1.7346928,-11.661054,Oxidoreductases
-18.589533,71.93813,Oxidoreductases
6.76009,24.087952,Oxidoreductases
-19.240492,-8.88169,Oxidoreductases
-24.805786,8.10663,Oxidoreductases
-29.977844,59.840195,Oxidoreductases
-0.56004083,58.941463,Oxidoreductases
-65.62053,44.611843,Oxidoreductases
-52.96006,-59.603157,Oxidoreductases
-52.959717,-59.603683,Oxidoreductases
-74.12097,-13.0101,Oxidoreductases
-45.86502,-1.588894,Oxidoreductases
-22.39689,30.755342,Oxidoreductases
-26.69018,-46.89285,Oxidoreductases
-74.9051,-12.980305,Oxidoreductases
-74.92675,-12.980358,Oxidoreductases
45.854275,17.792515,Oxidoreductases
57.7472,-73.319084,Oxidoreductases
32.251415,46.278667,Oxidoreductases
57.747135,-73.3189,Oxidoreductases
10.711783,50.374718,Oxidoreductases
-1.5562195,44.123405,Oxidoreductases
49.586086,-65.52089,Oxidoreductases
-72.71338,24.93013,Oxidoreductases
-41.123177,-29.945091,Oxidoreductases
14.858708,-23.938522,Oxidoreductases
26.148802,-33.54572,Oxidoreductases
-14.792304,-0.26641086,Oxidoreductases
45.24925,-36.453842,Oxidoreductases
